Chitralahari,Telugu
Majili,Telugu
Shazam!,English
Kalank,Hindi
Hellboy,English
The Tashkent Files,Hindi
Lucifer ,Telugu
Kesari,Hindi
Dumbo,English
Romeo Akbar Walter,Hindi
Pet Sematary,English
Badla,Hindi
How To Train Your Dragon: The Hidden World,English
Super Deluxe,Tamil
Captain Marvel,English
Paharganj,Hindi
The Least Of These,English
Kavaludaari,Kannada
Five Feet Apart ,English
Sahasaputrudu,Telugu
URI - The Surgical Strike,Hindi
Jessie,Telugu
Prema Katha Chitram 2,Telugu
Free Solo,English
Jersey,Telugu
Junglee,Hindi
Vinci Da,Bengali
Luka Chuppi,Hindi
Runam,Telugu
Phir Ussi Mod Par Talaq,Hindi
Puli Joodham,Telugu
Farishtay,Hindi
KPOP IN2IT Live Performance,English
Payanigaru,Kannada
The Curse Of The Weeping Woman,English
After,English
The Voyage Of Doctor Dolittle,English
Miracle,Tamil
Kanchana 3,Tamil
Miranda House,Marathi
Thrayambakam,Kannada
Howla Howla,Kannada
Punarvasu Nakshathra Mithuna Rashi,Kannada
Paddehuli,Kannada
Naukar Vahuti Da,Punjabi
Marvel Movie Marathon,English
Diksoochi,Telugu
Oru Yamandan Prema Kadha,Malayalam
Avengers: Endgame,Hindi
KaaGaR,Marathi
Ombathane Adbutha,Kannada
Gara,Kannada
Nadhoo Khan,Punjabi
Ke Tumi Nandini,Bengali
Jyeshthoputro,Bengali
Mr. Local,Tamil
Arjun Suravaram,Telugu
Vijayaratha ,Kannada
Setters,Hindi
Hansa Ek Sanyog,Hindi
Blank,Hindi
Gunwali Dulhaniya,Hindi
Uglydolls,English
Baalaa,Marathi
Jeem Boom Bhaa,Malayalam
Jind Jaan,Punjabi
Blackia,Punjabi
Maharshi,Telugu
Chhota Bheem: Kung Fu Dhamaka,Hindi
Student Of The Year 2,Hindi
Pokemon Detective Pikachu,English
BRIGHTBURN,English
Ayogya,Tamil
Ek Hota Pani,Marathi
Anushka,Kannada
Lukan Michi,Punjabi
Durgeshgorer Guptodhon,Bengali
Chase,Kannada
De De Pyaar De,Hindi
The Sun Is Also A Star,English
The Hustle,English
John Wick: Chapter 3 - Parabellum,English
A Dogs Journey,English
Rampaat,Marathi
Gangstar vs State,Punjabi
Chaturnath,Hindi
Mental Hai Kya,Hindi
India's Most Wanted,Hindi
Aladdin,Hindi
Ad Astra,English
Judgement,Marathi
Muklawa,Punjabi
Chandigarh Amritsar Chandigarh,Punjabi
Godzilla 2: King of the Monsters,English
Rocketman,English
MA,English
Dear Comrade,Tamil
NGK,Tamil
BaBo,Marathi
Bharat,Hindi
 X-Men: Dark Phoenix,Hindi
Mogra Phulaalaa,Marathi
Toy Story 4,Hindi
Kabir Singh,Hindi
